Brand,Model,Year,Engine Type,Oil Type
Ford,Ranger,1998,V6,5W-30
Toyota,Corolla,2005,I4,5W-30
Honda,Civic,2010,I4,0W-20
Tesla,Model S,2020,Electric,Electric - No oil needed
Ford,Mustang,2015,V8,5W-20
Chevrolet,Camaro,2017,V8,5W-30
BMW,320i,2018,I4,5W-30
Audi,A4,2021,I4,0W-20
Honda,Accord,2003,I4,5W-20
Nissan,Altima,2006,I4,5W-30
Subaru,Outback,2012,H4,0W-20
Volkswagen,Jetta,2019,I4,5W-30
Hyundai,Elantra,2013,I4,5W-20
Kia,Soul,2014,I4,5W-20
Toyota,RAV4,2022,I4,0W-20
Ford,F-150,2011,V6,5W-20
Chevrolet,Silverado,2016,V8,5W-30
Tesla,Model 3,2023,Electric,Electric - No oil needed
Honda,CR-V,2020,I4,0W-20
Mazda,CX-5,2018,I4,0W-20
Jeep,Grand Cherokee,2015,V6,5W-20
Dodge,Ram 1500,2017,V8,5W-30
BMW,X5,2014,I6,5W-30
Mercedes-Benz,C-Class,2019,I4,0W-20
Toyota,Camry,2002,I4,5W-30
Ford,Escape,2009,I4,5W-20
Nissan,Rogue,2010,I4,0W-20
Chevrolet,Malibu,2013,I4,5W-30
Hyundai,Tucson,2021,I4,0W-20
Kia,Optima,2018,I4,5W-30
Subaru,Forester,2015,H4,0W-20
Honda,Pilot,2017,V6,5W-20
Lexus,RX 350,2022,V6,0W-20
Porsche,Macan,2020,I4,0W-40
Jaguar,XF,2016,V6,5W-30
Volvo,XC90,2019,I4,0W-20
